date,close,high,low,open,volume,cpi,usd_try,is_shock,daily_return_pct,volatility_7d,ma_20d,dev_from_ma
2015-01-02,854.58447265625,857.7164751461362,849.4045073573286,854.4744878859727,32803700000,,,0,,,,
2015-01-05,864.6213989257812,867.9534125348255,854.1094916892177,854.9484765051234,64458800000,,,0,1.174480298984859,,,
2015-01-06,869.0913696289062,869.1133421678804,855.7424418537839,866.5043473040179,69832100000,,,0,0.5169858979523934,,,
2015-01-07,867.7614135742188,876.2553873212835,864.9734644140904,869.2463910921907,79194900000,,,0,-0.1530283352434325,,,
2015-01-08,876.891357421875,879.1863281918542,872.5993879384854,874.0443876187933,73176200000,,,0,1.0521260458045578,,,
2015-01-09,876.4793701171875,883.2633307958437,874.2763788465921,877.4553781353649,71173100000,,,0,-0.046982707857767814,,,
2015-01-12,878.642333984375,887.3833156695905,876.36536846624,879.1693697761805,63710400000,,,0,0.2467786397412075,,,
2015-01-13,883.1303100585938,885.4772824321184,878.235316576767,881.0473133310653,73665600000,,,0,0.5107853219258329,0.5073262920157952,,
2015-01-14,875.63037109375,883.7823054477542,871.2754136954862,877.1323772969942,74634000000,,,0,-0.8492448825979215,0.6068734561118474,,
2015-01-15,877.42333984375,884.9093232168383,875.598398319789,880.7963688865653,80414600000,,,0,0.20476319794167086,0.5894141019139687,,
2015-01-16,874.1593627929688,878.655310615191,868.6203907203331,876.4823485130656,61940200000,,,0,-0.37199569495866003,0.612774056929028,,
2015-01-19,880.0603637695312,883.2193437010326,875.8443825733943,876.9613810803867,51199000000,,,0,0.6750486499061958,0.5262694773075046,,
2015-01-20,892.000244140625,894.6402446989745,882.427297186037,882.427297186037,75924000000,,,0,1.356711523735954,0.7153886903666204,,
2015-01-21,903.1232299804688,903.4992655958832,896.3502554297585,896.908296921681,72545800000,,,0,1.2469711654126137,0.8077939032346957,,
2015-01-22,909.023193359375,910.0411933306405,898.517206606339,906.7071656053348,73007700000,,,0,0.6532844226622148,0.8129434559117118,,
2015-01-23,907.356201171875,915.8461462898724,905.387217494617,911.9531616064704,66641600000,,,0,-0.18338280031552356,0.6657909378442691,,
2015-01-26,914.1242065429688,914.1242065429688,902.9362162404228,905.4862516177468,54573600000,,,0,0.7459039087794439,0.6555596359609337,,
2015-01-27,911.4961547851562,917.5281663330934,905.5971991739838,915.4601841085722,60145700000,,,0,-0.28749394655582794,0.6353831560656173,,
2015-01-28,903.4111938476562,918.0521069156358,902.759158753545,917.053088810196,65983200000,,,0,-0.8869989077908591,0.8448251166551332,,
2015-01-29,885.5733032226562,902.4172079732588,885.5733032226562,896.9082650410604,61188300000,,,0,-1.9745040515856238,1.1009491685462054,885.2291595458985,0.0003887622465286893
2015-01-30,889.4533081054688,894.6122774284588,880.4483508031877,889.7053209340357,60624600000,,,0,0.4381348069880664,0.971040436105966,886.9726013183594,0.0027968245957340483
2015-02-02,897.1232299804688,898.573234492796,886.7363222097964,891.4432674464075,46323800000,,,0,0.8623186630602131,1.0047701880334827,888.5976928710937,0.009594372321436803
2015-02-03,875.0803833007812,900.4772213321436,871.1573694281298,900.4772213321436,71753300000,,,0,-2.457058957236835,1.3220530381115498,888.8971435546875,-0.015543710938988126
2015-02-04,859.096435546875,879.2753441382191,856.7074101906961,878.2053425154311,83290600000,,,0,-1.8265690854153527,1.2718230075859336,888.4638946533203,-0.03305419531753115
2015-02-05,857.888427734375,865.0133897160424,851.4504738056274,859.1874320334415,75973800000,,,0,-0.14061376144938187,1.2843014539080395,887.5137481689453,-0.03338012565517002
2015-02-06,849.8695068359375,864.2593839747235,849.0954630980032,858.8904549881762,67630900000,,,0,-0.934727715073036,1.2846260492878014,886.1832550048828,-0.04097769616369606
2015-02-09,845.7384643554688,850.1944342110464,832.4225564641498,850.0824352974494,81995500000,,,0,-0.48607962131135274,1.1894208614848527,884.5380615234375,-0.04386424830735298
2015-02-10,831.1596069335938,853.6694976842696,829.7486036517039,850.0025248848949,76146600000,,,0,-1.7238021015143823,1.1396617606918624,881.9395263671875,-0.05757755255937123
2015-02-11,834.29052734375,841.992512578136,831.7295668995818,835.9745393463013,79623600000,,,0,0.37669304235166123,1.0187455389673703,879.8725341796875,-0.0518052389013756
2015-02-12,860.8214111328125,860.8214111328125,837.8605346979546,837.8605346979546,83924200000,,,0,3.1800533410744514,1.700333016511648,879.0424377441407,-0.02072826729286043
2015-02-13,858.0884399414062,863.567414619019,855.8914301773996,862.6033694689334,63305500000,,,0,-0.3174841094867431,1.552223485965916,878.2388916015625,-0.022944157737548775
2015-02-16,860.4004516601562,864.3973786372693,859.5944256750639,861.4424383039163,52934900000,,,0,0.26943746251935075,1.5540578710143846,877.2558959960937,-0.019213828499606383
2015-02-17,844.2445678710938,859.5754806133524,844.2445678710938,856.9154604721282,64684900000,,,0,-1.8777167954630247,1.6888725146829473,874.8681121826172,-0.03500361241321732
2015-02-18,854.4124755859375,855.7954638806433,841.5115428063815,846.1255320877522,59922000000,,,0,1.2043794063708146,1.7416162969854292,872.4325744628907,-0.020655004643822666
2015-02-19,864.138427734375,865.7194130116992,857.3814444854569,862.3144017523331,68890200000,,,0,1.138320474752863,1.5515807409941456,870.1883361816406,-0.0069524127085090455
