date,close,high,low,open,volume
2015-01-02,854.58447265625,857.7164751461362,849.4045073573286,854.4744878859727,32803700000
2015-01-05,864.6213989257812,867.9534125348255,854.1094916892177,854.9484765051234,64458800000
2015-01-06,869.0913696289062,869.1133421678804,855.7424418537839,866.5043473040179,69832100000
2015-01-07,867.7614135742188,876.2553873212835,864.9734644140904,869.2463910921907,79194900000
2015-01-08,876.891357421875,879.1863281918542,872.5993879384854,874.0443876187933,73176200000
2015-01-09,876.4793701171875,883.2633307958437,874.2763788465921,877.4553781353649,71173100000
2015-01-12,878.642333984375,887.3833156695905,876.36536846624,879.1693697761805,63710400000
2015-01-13,883.1303100585938,885.4772824321184,878.235316576767,881.0473133310653,73665600000
2015-01-14,875.63037109375,883.7823054477542,871.2754136954862,877.1323772969942,74634000000
2015-01-15,877.42333984375,884.9093232168383,875.598398319789,880.7963688865653,80414600000
2015-01-16,874.1593627929688,878.655310615191,868.6203907203331,876.4823485130656,61940200000
2015-01-19,880.0603637695312,883.2193437010326,875.8443825733943,876.9613810803867,51199000000
2015-01-20,892.000244140625,894.6402446989745,882.427297186037,882.427297186037,75924000000
2015-01-21,903.1232299804688,903.4992655958832,896.3502554297585,896.908296921681,72545800000
2015-01-22,909.023193359375,910.0411933306403,898.517206606339,906.7071656053347,73007700000
2015-01-23,907.356201171875,915.8461462898723,905.387217494617,911.9531616064703,66641600000
2015-01-26,914.1242065429688,914.1242065429688,902.9362162404228,905.4862516177468,54573600000
2015-01-27,911.4961547851562,917.5281663330934,905.5971991739838,915.4601841085722,60145700000
2015-01-28,903.4111938476562,918.0521069156358,902.759158753545,917.053088810196,65983200000
2015-01-29,885.5733032226562,902.4172079732587,885.5733032226562,896.9082650410604,61188300000
2015-01-30,889.4533081054688,894.6122774284588,880.4483508031877,889.7053209340357,60624600000
2015-02-02,897.1232299804688,898.573234492796,886.7363222097964,891.4432674464075,46323800000
2015-02-03,875.0803833007812,900.4772213321436,871.1573694281298,900.4772213321436,71753300000
2015-02-04,859.096435546875,879.2753441382191,856.7074101906961,878.2053425154311,83290600000
2015-02-05,857.888427734375,865.0133897160424,851.4504738056274,859.1874320334415,75973800000
2015-02-06,849.8695068359375,864.2593839747235,849.0954630980032,858.8904549881762,67630900000
2015-02-09,845.7384643554688,850.1944342110464,832.4225564641498,850.0824352974494,81995500000
2015-02-10,831.1596069335938,853.6694976842696,829.7486036517039,850.0025248848949,76146600000
2015-02-11,834.29052734375,841.992512578136,831.7295668995818,835.9745393463013,79623600000
2015-02-12,860.8214111328125,860.8214111328125,837.8605346979546,837.8605346979546,83924200000
2015-02-13,858.0884399414062,863.567414619019,855.8914301773996,862.6033694689334,63305500000
2015-02-16,860.4004516601562,864.3973786372693,859.5944256750639,861.4424383039163,52934900000
2015-02-17,844.2445678710938,859.5754806133524,844.2445678710938,856.9154604721282,64684900000
2015-02-18,854.4124755859375,855.7954638806433,841.5115428063815,846.1255320877522,59922000000
2015-02-19,864.138427734375,865.7194130116992,857.3814444854569,862.3144017523331,68890200000
2015-02-20,854.8844604492188,865.0674510831313,851.1355178536218,863.5814359849596,52524500000
2015-02-23,862.87841796875,863.2044050088948,848.4964752230994,854.8634458403593,62481900000
2015-02-24,866.9074096679688,867.9363959337061,860.1064812242704,864.2394550058946,71171000000
